,image_file,fixation_file,image_size,center_index,is_salient
42,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[434, 59]",non_salient
43,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[0, 468]",non_salient
44,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[437, 116]",non_salient
45,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[383, 449]",non_salient
46,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[25, 149]",non_salient
47,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[89, 357]",non_salient
48,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[71, 594]",non_salient
49,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[151, 601]",non_salient
50,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[41, 612]",non_salient
51,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[241, 654]",non_salient
52,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[26, 617]",non_salient
53,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[425, 262]",non_salient
54,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[203, 12]",non_salient
55,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[12, 11]",non_salient
56,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[434, 666]",non_salient
57,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[321, 398]",non_salient
58,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[40, 35]",non_salient
59,test\data\toronto\fixdens\images\2.jpg,test\data\toronto\fixdens\output\d2.jpg,"(681, 511)","[66, 274]",non_salient
60,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[249, 260]",salient
61,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[260, 242]",salient
62,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[269, 257]",salient
63,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[243, 251]",salient
64,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[275, 241]",salient
65,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[270, 248]",salient
66,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[263, 245]",salient
67,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[257, 245]",salient
68,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[263, 257]",salient
69,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[253, 240]",salient
70,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[287, 171]",non_salient
71,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[83, 159]",non_salient
72,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[287, 164]",non_salient
73,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[325, 335]",non_salient
74,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[194, 7]",non_salient
75,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[214, 506]",non_salient
76,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[116, 171]",non_salient
77,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[214, 381]",non_salient
78,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[122, 294]",non_salient
79,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[509, 54]",non_salient
80,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[410, 323]",non_salient
81,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[410, 110]",non_salient
82,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[502, 51]",non_salient
83,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[422, 626]",non_salient
84,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[53, 31]",non_salient
85,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[245, 484]",non_salient
86,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[304, 556]",non_salient
87,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[212, 137]",non_salient
88,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[293, 548]",non_salient
89,test\data\toronto\fixdens\images\3.jpg,test\data\toronto\fixdens\output\d3.jpg,"(681, 511)","[109, 443]",non_salient
90,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[333, 230]",salient
91,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[325, 237]",salient
92,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[359, 238]",salient
93,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[329, 230]",salient
94,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[356, 239]",salient
95,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[341, 240]",salient
96,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[337, 239]",salient
97,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[349, 223]",salient
98,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[353, 237]",salient
99,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[353, 236]",salient
100,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[495, 256]",non_salient
101,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[22, 380]",non_salient
102,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[438, 521]",non_salient
103,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[493, 508]",non_salient
104,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[254, 314]",non_salient
105,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[288, 294]",non_salient
106,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[138, 109]",non_salient
107,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[78, 595]",non_salient
108,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[453, 501]",non_salient
109,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[491, 597]",non_salient
110,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[189, 637]",non_salient
111,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[190, 494]",non_salient
112,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[33, 81]",non_salient
113,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[345, 590]",non_salient
114,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[420, 613]",non_salient
115,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[32, 310]",non_salient
116,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[379, 444]",non_salient
117,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[300, 556]",non_salient
118,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[94, 280]",non_salient
119,test\data\toronto\fixdens\images\4.jpg,test\data\toronto\fixdens\output\d4.jpg,"(681, 511)","[493, 372]",non_salient
120,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[231, 405]",salient
121,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[244, 411]",salient
122,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[238, 418]",salient
123,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[218, 423]",salient
124,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[219, 417]",salient
125,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[213, 423]",salient
126,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[206, 414]",salient
127,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[200, 413]",salient
128,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[207, 418]",salient
129,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[240, 408]",salient
130,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[177, 208]",non_salient
131,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[106, 206]",non_salient
132,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[30, 672]",non_salient
133,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[321, 573]",non_salient
134,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[415, 302]",non_salient
135,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[68, 153]",non_salient
136,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[18, 59]",non_salient
137,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[111, 504]",non_salient
138,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[368, 250]",non_salient
139,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[137, 1]",non_salient
140,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[470, 571]",non_salient
141,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[293, 229]",non_salient
142,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[438, 452]",non_salient
143,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[473, 650]",non_salient
144,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[244, 340]",non_salient
145,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[30, 172]",non_salient
146,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[282, 542]",non_salient
147,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[31, 481]",non_salient
148,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[435, 176]",non_salient
149,test\data\toronto\fixdens\images\5.jpg,test\data\toronto\fixdens\output\d5.jpg,"(681, 511)","[330, 29]",non_salient
150,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[247, 511]",salient
151,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[248, 510]",salient
152,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[262, 507]",salient
153,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[260, 503]",salient
154,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[258, 514]",salient
155,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[260, 508]",salient
156,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[260, 506]",salient
157,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[246, 509]",salient
158,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[254, 516]",salient
159,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[262, 515]",salient
160,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[257, 42]",non_salient
161,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[175, 382]",non_salient
162,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[256, 151]",non_salient
163,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[367, 456]",non_salient
164,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[330, 299]",non_salient
165,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[31, 182]",non_salient
166,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[79, 268]",non_salient
167,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[379, 567]",non_salient
168,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[499, 358]",non_salient
169,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[110, 33]",non_salient
170,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[496, 255]",non_salient
171,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[318, 288]",non_salient
172,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[394, 343]",non_salient
173,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[79, 495]",non_salient
174,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[386, 276]",non_salient
175,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[284, 416]",non_salient
176,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[79, 64]",non_salient
177,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[310, 291]",non_salient
178,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[127, 575]",non_salient
179,test\data\toronto\fixdens\images\6.jpg,test\data\toronto\fixdens\output\d6.jpg,"(681, 511)","[117, 150]",non_salient
180,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[354, 481]",salient
181,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[352, 496]",salient
182,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[335, 488]",salient
183,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[355, 493]",salient
184,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[343, 500]",salient
185,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[352, 501]",salient
186,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[347, 495]",salient
187,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[342, 496]",salient
188,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[348, 500]",salient
189,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[346, 500]",salient
190,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[406, 629]",non_salient
191,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[63, 143]",non_salient
192,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[28, 130]",non_salient
193,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[59, 263]",non_salient
194,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[38, 522]",non_salient
195,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[248, 492]",non_salient
196,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[293, 306]",non_salient
197,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[113, 632]",non_salient
198,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[433, 261]",non_salient
199,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[98, 56]",non_salient
200,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[263, 194]",non_salient
201,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[482, 592]",non_salient
202,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[379, 665]",non_salient
203,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[258, 197]",non_salient
204,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[44, 450]",non_salient
205,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[106, 231]",non_salient
206,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[381, 98]",non_salient
207,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[213, 444]",non_salient
208,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[441, 327]",non_salient
209,test\data\toronto\fixdens\images\7.jpg,test\data\toronto\fixdens\output\d7.jpg,"(681, 511)","[254, 667]",non_salient
210,test\data\toronto\fixdens\images\8.jpg,test\data\toronto\fixdens\output\d8.jpg,"(681, 511)","[143, 340]",salient
211,test\data\toronto\fixdens\images\8.jpg,test\data\toronto\fixdens\output\d8.jpg,"(681, 511)","[148, 356]",salient
212,test\data\toronto\fixdens\images\8.jpg,test\data\toronto\fixdens\output\d8.jpg,"(681, 511)","[151, 344]",salient
213,test\data\toronto\fixdens\images\8.jpg,test\data\toronto\fixdens\output\d8.jpg,"(681, 511)","[131, 353]",salient
214,test\data\toronto\fixdens\images\8.jpg,test\data\toronto\fixdens\output\d8.jpg,"(681, 511)","[150, 347]",salient
215,test\data\toronto\fixdens\images\8.jpg,test\data\toronto\fixdens\output\d8.jpg,"(681, 511)","[143, 361]",salient
216,test\data\toronto\fixdens\images\8.jpg,test\data\toronto\fixdens\output\d8.jpg,"(681, 511)","[134, 359]",salient
